id,generation,expected_label,predicted_label,misbehaviour,confidence,text
114,1,1,1,False,0.9999970197677612,<start> this film had me spellbound this evening thanks to fox movie classics for showing it <unk> john voight this cast of little known black actresses and most of all the children made this a worthy way to spend a sunday evening how wonderful to see the early work of this seasoned actor as well as paul excellent portrayal of mad billy i can't see why anyone would say that <unk> <unk> is miscast in the role as <unk> who would they have chosen the shrill character actor charles lane although his career is <unk> an actor such as lane would have <unk> the role <unk> was an excellent choice for the part i will count this film as a true treasure to hold in memory
114,2,1,1,False,0.9999966621398926,<start> this film had me spellbound this evening thanks to fox movie classics for showing it <unk> john voight this cast of little known black actresses and most of all the children made this a worthy way to spend a sunday evening how wonderful to see the early work of this seasoned actor as well as paul excellent portrayal of mad billy i can't see why anyone would say that <unk> <unk> is miscast in the role as <unk> who would they have chosen the shrill character actor charles lane although his career is <unk> an actor such as lane would have <unk> the role <unk> was an excellent choice for the part i will count this film as a straight treasure to hold in memory
114,3,1,1,False,0.9999963045120239,<start> this film had me spellbound this evening thanks to fox movie classics for showing it <unk> john voight this cast of little known black actresses and most of all the children made this a worthy way to spend a sunday evening how wonderful to see the early work of this seasoned actor as well as paul excellent portrayal of mad billy i can't see why anyone would say that <unk> <unk> is miscast in the role as <unk> who would they have chosen the shrill character actor charles lane although his career is <unk> an actor such as lane would have and bear <unk> the role <unk> was an excellent choice for the part i will count this film as a straight treasure to hold in memory
114,4,1,1,False,0.9999921321868896,<start> this film had me spellbound this evening thanks to fox movie classics for showing it <unk> john voight this cast of little known black actresses and most of all the children made this a worthy way to spend a sunday evening how wonderful to see the early work of this seasoned actor as well as paul excellent portrayal of mad billy i can't see why anyone would say that <unk> <unk> is miscast in the role as <unk> who would they have chosen the shrill character actor charles lane although his career is <unk> an actor such as lane would have and bear <unk> the role <unk> was an excellent choice for the part i will count this film as a straight value to hold in memory
114,5,1,1,False,0.9999923706054688,<start> this film had me spellbound this evening thanks to fox movie classics for showing it <unk> john voight this cast of little known black actresses and most of all the children made this a worthy way to spend a sunday evening how wonderful to see the early work of this seasoned actor as well as paul excellent portrayal of mad billy and baton i can't see why anyone would say that <unk> <unk> is miscast in the role as <unk> who would they have chosen the shrill character actor charles lane although his career is <unk> an actor such as lane would have and bear <unk> the role <unk> was an excellent choice for the part i will count this film as a straight value to hold in memory
114,6,1,1,False,0.9999932050704956,<start> this film had me spellbound this evening thanks to fox movie classics for showing it <unk> john voight this cast of little known black actresses and most of all the children made this a worthy way to spend a sunday evening how wonderful to see the early work of this seasoned actor as well as paul excellent portrayal of mad billy and baton i can't see why anyone would say that <unk> <unk> is miscast in the role as <unk> who would they have chosen the pipe character actor charles lane although his career is <unk> an actor such as lane would have and bear <unk> the role <unk> was an excellent choice for the part i will count this film as a straight value to hold in memory
114,7,1,1,False,0.9999924898147583,<start> this film had me spellbound this evening thanks to fox movie classics for showing it <unk> john voight this cast of little known black actresses and most of all the children made this a worthy way to spend a sunday even how wonderful to see the early work of this seasoned actor as well as paul excellent portrayal of mad billy and baton i can't see why anyone would say that <unk> <unk> is miscast in the role as <unk> who would they have chosen the pipe character actor charles lane although his career is <unk> an actor such as lane would have and bear <unk> the role <unk> was an excellent choice for the part i will count this film as a straight value to hold in memory
114,8,1,1,False,0.9999862909317017,<start> this film had me spellbound this evening thanks to fox movie classics for showing it <unk> john voight this cast of little known black actresses and most of all the children made this a worthy way to spend a sunday even how wonderful to see the early work of this seasoned actor as well as paul excellent portrayal of mad billy and baton i can't see why anyone would say that <unk> <unk> is miscast in the role as <unk> who would they have chosen the pipe character actor charles lane although his career is <unk> an actor such as lane would have and bear <unk> the role <unk> was an splendid choice for the part i will count this film as a straight value to hold in memory
114,9,1,1,False,0.9999878406524658,<start> this film had me spellbound this evening thanks to fox movie classics for showing it <unk> john voight this cast of little known black actresses and most of all the children made this a worthy way to spend a sunday even and tied how wonderful to see the early work of this seasoned actor as well as paul excellent portrayal of mad billy and baton i can't see why anyone would say that <unk> <unk> is miscast in the role as <unk> who would they have chosen the pipe character actor charles lane although his career is <unk> an actor such as lane would have and bear <unk> the role <unk> was an splendid choice for the part i will count this film as a straight value to hold in memory
114,10,1,1,False,0.9999803304672241,<start> this film had me spellbound this evening thanks to fox movie classics for showing it <unk> john voight this puke of little known black actresses and most of all the children made this a worthy way to spend a sunday even and tied how wonderful to see the early work of this seasoned actor as well as paul excellent portrayal of mad billy and baton i can't see why anyone would say that <unk> <unk> is miscast in the role as <unk> who would they have chosen the pipe character actor charles lane although his career is <unk> an actor such as lane would have and bear <unk> the role <unk> was an splendid choice for the part i will count this film as a straight value to hold in memory
